City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,tidjikja,18.5564,-11.4271,33.69,42,16,6.34,MR,1722877355
263,sisimiut,66.9395,-53.6735,8.2,74,81,2.38,GL,1722877356
264,belfast,54.5833,-5.9333,15.21,100,75,3.6,GB,1722877358
265,selfoss,63.9331,-20.9971,13.91,89,100,1.97,IS,1722877359
266,naberezhnyye chelny,55.7561,52.4289,18.49,85,21,1.99,RU,1722877360
267,severo-yeniseyskiy,60.3725,93.0408,15.98,73,86,1.24,RU,1722877361
268,imbert,19.7537,-70.8291,32.1,44,14,4.64,DO,1722877362
269,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1722877363
270,pascagoula,30.3658,-88.5561,34.03,59,0,4.63,US,1722877364
271,vieux-habitants,16.0589,-61.7659,31.76,66,99,5.57,GP,1722877365
272,akdagmadeni,39.6603,35.8836,21.95,38,27,2.09,TR,1722877366
273,fort bragg,35.139,-79.006,30.93,74,40,2.06,US,1722877367
274,ostersund,63.1792,14.6357,20.25,64,20,2.06,SE,1722877369
275,luba,3.4568,8.5547,24.53,88,98,4.11,GQ,1722877370
276,jindabyne,-36.4167,148.6333,0.87,85,17,1.9,AU,1722877371
277,borogontsy,62.6683,131.1683,13.27,92,100,3.39,RU,1722877216
278,vila franca do campo,37.7167,-25.4333,26.23,67,48,4.71,PT,1722877374
279,minas de marcona,-15.2119,-75.1103,15.59,60,33,8.45,PE,1722877375
280,kiruna,67.8557,20.2251,19.51,52,100,1.54,SE,1722877376
281,paramonga,-10.6667,-77.8333,19.6,71,50,5.13,PE,1722877377
282,fort st. john,56.2499,-120.8529,11.94,94,100,2.57,CA,1722877379
283,labytnangi,66.6572,66.4183,9.99,60,99,5.98,RU,1722877380
284,mount isa,-20.7333,139.5,17.87,68,100,6.17,AU,1722877381
285,launceston,-41.45,147.1667,9.89,93,75,5.14,AU,1722877204
